,Monthly hours worked in all jobs ;  Persons ;,Monthly hours worked in all jobs ;  Persons ;,Monthly hours worked in all jobs ;  > Males ;,Monthly hours worked in all jobs ;  > Males ;,Monthly hours worked in all jobs ;  > Females ;,Monthly hours worked in all jobs ;  > Females ;,> Monthly hours worked in all jobs (employed full-time) ;  Persons ;,> Monthly hours worked in all jobs (employed full-time) ;  Persons ;,> Monthly hours worked in all jobs (employed full-time) ;  > Males ;,> Monthly hours worked in all jobs (employed full-time) ;  > Males ;,> Monthly hours worked in all jobs (employed full-time) ;  > Females ;,> Monthly hours worked in all jobs (employed full-time) ;  > Females ;,> Monthly hours worked in all jobs (employed part-time) ;  Persons ;,> Monthly hours worked in all jobs (employed part-time) ;  Persons ;,> Monthly hours worked in all jobs (employed part-time) ;  > Males ;,> Monthly hours worked in all jobs (employed part-time) ;  > Males ;,> Monthly hours worked in all jobs (employed part-time) ;  > Females ;,> Monthly hours worked in all jobs (employed part-time) ;  > Females ;,Monthly hours worked in all jobs ;  > New South Wales ;,Monthly hours worked in all jobs ;  > New South Wales ;,Monthly hours worked in all jobs ;  > Victoria ;,Monthly hours worked in all jobs ;  > Victoria ;,Monthly hours worked in all jobs ;  > Queensland ;,Monthly hours worked in all jobs ;  > Queensland ;,Monthly hours worked in all jobs ;  > South Australia ;,Monthly hours worked in all jobs ;  > South Australia ;,Monthly hours worked in all jobs ;  > Western Australia ;,Monthly hours worked in all jobs ;  > Western Australia ;,Monthly hours worked in all jobs ;  > Tasmania ;,Monthly hours worked in all jobs ;  > Tasmania ;,Monthly hours worked in all jobs ;  > Northern Territory ;,Monthly hours worked in all jobs ;  > Australian Capital Territory ;
Unit,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours,000 Hours
Series Type,Trend,Seasonally Adjusted,Trend,Seasonally Adjusted,Trend,Seasonally Adjusted,Trend,Seasonally Adjusted,Trend,Seasonally Adjusted,Trend,Seasonally Adjusted,Trend,Seasonally Adjusted,Trend,Seasonally Adjusted,Trend,Seasonally Adjusted,Trend,Seasonally Adjusted,Trend,Seasonally Adjusted,Trend,Seasonally Adjusted,Trend,Seasonally Adjusted,Trend,Seasonally Adjusted,Trend,Seasonally Adjusted,Trend,Trend
Data Type,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW
Frequency,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month
Collection Month,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Series Start,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978,Jul-1978
Series End,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023
No. Obs,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537
Series ID,A84426286A,A84426277X,A84426283V,A84426274T,A84426289J,A84426280L,A84426287C,A84426278A,A84426284W,A84426275V,A84426290T,A84426281R,A84426288F,A84426279C,A84426285X,A84426276W,A84426291V,A84426282T,A84426258T,A84426249R,A84426265R,A84426256L,A84426259V,A84426250X,A84426266T,A84426257R,A84426263K,A84426254J,A84426260C,A84426251A,A84426264L,A84426262J
Jul-1978,908307.0,907752.1,637746.8,637367.9,270560.2,270384.1,848172.1,847386.5,623893.1,623544.1,224279.1,223842.4,60134.9,60365.6,13853.7,13823.9,46281.1,46541.7,320482.9,320000.5,246548.9,249340.6,133329.3,131967.5,81979.9,82243.5,79488.0,79438.1,24702.4,24554.4,7225.5,13773.1
Aug-1978,908833.8,911207.2,638774.6,639465.7,270059.3,271741.5,848815.1,849226.4,625021.5,625398.9,223793.6,223827.5,60018.8,61980.8,13753.1,14066.8,46265.7,47913.9,320554.0,320521.3,246869.2,245752.7,134000.2,136894.0,81935.7,82128.1,79325.0,79857.3,24761.3,25000.4,7244.5,13757.5
Sep-1978,909579.6,909621.1,639902.3,639094.5,269677.4,270526.6,849632.0,850354.2,626262.3,625815.8,223369.7,224538.4,59947.6,59267.0,13639.9,13278.7,46307.7,45988.2,320725.4,320569.4,247129.5,248165.4,134721.7,134354.4,81944.7,82067.3,79160.8,78833.6,24825.0,24716.7,7270.8,13715.7
Oct-1978,910317.6,910997.3,641008.5,642195.0,269309.1,268802.3,850412.2,851073.8,627485.0,628497.1,222927.2,222576.8,59905.4,59923.5,13523.5,13697.9,46381.9,46225.6,320856.6,322160.9,247444.5,247646.7,135436.9,134915.2,82008.5,81298.9,79007.1,79109.1,24891.0,24704.1,7293.5,13667.2
Nov-1978,911078.9,909436.2,642063.9,640822.0,269015.0,268614.1,851181.7,849443.6,628662.9,627522.5,222518.7,221921.1,59897.3,59992.6,13401.0,13299.5,46496.3,46693.1,320981.0,319781.2,247877.5,247441.0,136086.7,135258.4,82151.7,82049.2,78895.7,78729.9,24959.3,25276.9,7307.9,13614.3
Dec-1978,912250.9,914514.0,643298.4,644655.3,268952.5,269858.6,852285.5,853490.0,630004.4,631177.1,222281.1,222312.9,59965.4,61023.9,13294.0,13478.2,46671.4,47545.7,321053.4,322031.8,248545.2,246935.2,136675.4,138345.0,82323.5,82477.8,78906.9,78823.2,25058.2,25044.5,7314.8,13562.2
Jan-1979,914381.8,912720.5,645099.2,644510.7,269282.6,268209.8,854183.9,852068.2,631839.9,630449.7,222344.1,221618.5,60197.9,60652.4,13259.4,14061.0,46938.6,46591.4,321150.2,319640.1,249375.6,250806.9,137217.5,137498.0,82445.4,82772.3,79104.2,76375.2,25219.7,24850.7,7334.8,13513.2
Feb-1979,917358.6,916466.4,647417.8,646170.8,269940.9,270295.6,856761.6,856570.4,634098.3,633637.7,222663.4,222932.7,60597.0,59896.0,13319.5,12533.1,47277.5,47362.9,321397.6,322455.1,250201.1,249063.2,137826.2,137282.9,82495.1,82901.1,79432.2,79196.8,25446.3,25264.7,7387.6,13488.0
Mar-1979,920609.6,918273.4,649926.5,648253.3,270683.0,270020.1,859564.3,858157.8,636503.0,634969.9,223061.3,223187.9,61045.3,60115.5,13423.6,13283.3,47621.7,46832.2,321848.6,322179.2,250797.8,251734.5,138555.5,136507.5,82468.0,82197.5,79761.9,79916.8,25699.3,25908.9,7481.8,13492.2
Apr-1979,923518.0,926632.3,652254.8,654623.6,271263.3,272008.7,862087.8,865070.2,638722.7,641006.8,223365.1,224063.5,61430.2,61562.1,13532.1,13616.8,47898.1,47945.3,322533.0,322254.4,251031.9,252856.7,139311.5,142280.5,82398.1,82178.8,80007.3,80476.9,25921.2,26036.8,7601.3,13520.8
May-1979,925681.3,926984.9,654078.3,655123.7,271603.0,271861.2,863985.3,864763.4,640455.7,641244.7,223529.5,223518.7,61696.0,62221.5,13622.6,13879.0,48073.5,48342.5,323406.9,321102.7,250883.8,248896.6,140112.8,147984.4,82289.3,81713.6,80144.5,80192.3,26087.7,26060.2,7704.8,13569.8
Jun-1979,927069.0,947672.8,655225.0,670080.0,271844.0,277592.7,865266.0,885205.6,641562.8,656093.4,223703.2,229112.2,61803.0,62467.2,13662.2,13986.7,48140.8,48480.5,324404.6,327969.2,250595.6,261321.0,140879.7,143879.3,82150.6,85875.2,80167.4,80458.8,26188.6,26426.2,7757.9,13629.5
Jul-1979,928067.5,922799.3,655835.7,652154.1,272231.8,270645.3,866288.0,861497.7,642183.5,638793.3,224104.5,222704.4,61779.5,61301.7,13652.2,13360.8,48127.3,47940.9,325606.0,323440.2,250543.5,249208.4,141393.4,140763.2,81980.2,82398.0,80144.2,79377.6,26226.1,26041.8,7750.5,13699.5
Aug-1979,929185.4,929612.9,656221.5,657049.9,272963.8,272563.0,867464.9,868480.5,642596.9,643785.9,224868.1,224694.6,61720.4,61132.4,13624.7,13263.9,48095.8,47868.5,327024.6,328130.1,250855.5,250182.1,141510.7,141720.0,81812.4,81734.8,80145.4,80248.7,26236.2,26099.7,7697.4,13784.8
Sep-1979,930901.5,930104.9,656791.7,656628.8,274109.8,273476.1,869142.0,868359.9,643136.7,642618.3,226005.3,225741.6,61759.5,61745.0,13655.0,14010.5,48104.6,47734.4,328582.1,328374.8,251400.8,251108.3,141362.6,141075.8,81655.5,81499.0,80245.8,80570.1,26244.3,26142.4,7646.7,13872.9
Oct-1979,933181.9,933223.3,657563.5,656774.2,275618.4,276449.1,871210.7,870951.5,643791.6,643136.6,227419.1,227814.9,61971.2,62271.8,13771.9,13637.6,48199.3,48634.2,330145.0,327931.3,252081.5,252715.1,141138.7,142187.4,81558.5,80756.4,80468.1,82417.3,26236.7,26459.9,7635.1,13957.5
Nov-1979,935632.4,936505.0,658272.9,658691.5,277359.5,277813.5,873312.0,874324.6,644329.1,644908.9,228982.9,229415.7,62320.4,62180.4,13943.8,13782.6,48376.6,48397.8,331660.1,331954.1,252644.7,253609.8,141044.6,140476.5,81545.3,81832.1,80789.3,80613.1,26179.2,26254.7,7694.8,14025.5
Dec-1979,937777.2,938982.6,658584.3,659400.3,279193.0,279582.3,875082.8,876527.4,644478.8,645407.7,230604.0,231119.6,62694.4,62455.3,14105.5,13992.6,48589.0,48462.6,332993.7,334501.2,253005.5,254171.2,141028.7,139504.1,81568.7,82065.1,81153.0,81300.2,26061.3,25430.4,7803.7,14078.0
Jan-1980,939663.1,942193.6,658593.5,660506.1,281069.6,281687.4,876686.5,877188.0,644415.2,645908.2,232271.3,231279.8,62976.5,65005.6,14178.2,14597.9,48798.3,50407.6,334147.6,337996.8,253356.7,251125.7,141226.5,142109.6,81627.0,81871.2,81512.9,81353.5,25907.9,25986.0,7925.4,14126.0
Feb-1980,941689.7,940938.0,658693.3,658435.2,282996.4,282502.9,878534.4,877346.7,644565.7,643934.9,233968.7,233411.8,63155.3,63591.4,14127.6,14500.3,49027.7,49091.0,335146.2,333673.5,253793.2,253708.4,141631.3,142202.3,81697.1,81179.7,81857.1,82222.6,25759.9,25769.8,8039.1,14167.4
Mar-1980,944228.2,942299.2,659262.3,656649.4,284965.9,285649.8,880938.4,878893.0,645287.3,642900.3,235651.1,235992.7,63289.8,63406.2,13975.0,13749.1,49314.8,49657.1,336119.2,337316.7,254509.2,250325.9,142245.0,141992.1,81800.3,82205.5,82208.4,82161.8,25676.8,25491.5,8126.0,14205.5
Apr-1980,947119.2,942795.1,660360.0,659053.7,286759.2,283741.4,883643.0,879927.2,646575.2,645289.6,237067.8,234637.7,63476.2,62867.8,13784.8,13764.2,49691.5,49103.7,337034.9,336137.2,255470.3,254273.8,142983.5,143138.2,81977.3,80653.8,82570.6,80654.0,25693.7,25513.5,8174.6,14236.0
May-1980,950287.2,948246.9,662123.6,661623.5,288163.6,286623.4,886554.1,887964.7,648514.6,649154.7,238039.5,238810.0,63733.1,60282.2,13609.0,12468.8,50124.1,47813.4,337920.3,336864.0,256395.8,257310.4,143745.0,141588.5,82299.7,82058.9,82938.7,82545.7,25795.5,25816.4,8184.5,14254.7
Jun-1980,953358.5,981192.7,664396.5,685910.8,288962.0,295281.9,889285.2,917289.1,650872.6,672692.3,238412.5,244596.8,64073.4,63903.6,13523.9,13218.5,50549.5,50685.0,338706.8,349419.7,256969.0,266171.6,144465.3,147604.5,82730.3,84345.4,83331.8,83308.0,25919.4,27329.8,8165.0,14262.3
Jul-1980,955902.0,956583.2,666781.3,667003.6,289120.7,289579.6,891398.2,891686.5,653195.8,653411.2,238202.4,238275.3,64503.8,64896.7,13585.5,13592.4,50918.3,51304.3,339276.5,339132.8,257056.7,256547.1,145125.2,145696.9,83135.8,82633.6,83759.1,84079.2,26009.8,25971.3,8135.0,14260.8
Aug-1980,957608.5,954648.2,668858.8,666360.5,288749.7,288287.6,892657.4,889856.7,655092.6,652627.5,237564.9,237229.2,64951.1,64791.4,13766.2,13733.0,51184.9,51058.4,339495.2,337703.4,256761.2,257632.7,145627.5,143615.8,83406.8,83238.4,84224.4,84249.8,26045.4,26218.6,8114.0,14263.0
Sep-1980,958540.8,958628.3,670409.0,671337.9,288131.8,287290.4,893228.2,892742.9,656435.9,657121.2,236792.3,235621.7,65312.6,65885.4,13973.1,14216.8,51339.5,51668.6,339433.6,340718.3,256267.9,255955.6,145882.7,146728.6,83524.2,83908.7,84708.6,82825.3,26031.6,26188.9,8134.1,14285.1
Oct-1980,958934.4,961809.6,671436.3,673754.7,287498.1,288054.9,893385.5,897067.1,657300.5,659999.0,236085.0,237068.1,65548.9,64742.6,14135.8,13755.7,51413.1,50986.9,339203.0,339596.5,255761.0,254311.5,145891.8,145688.5,83500.6,84332.6,85150.5,89608.4,25992.8,25751.6,8220.0,14332.1
Nov-1980,959196.0,958001.8,672137.8,671578.0,287058.2,286423.8,893502.2,891356.5,657918.8,656595.8,235583.4,234760.8,65693.8,66645.3,14219.0,14982.2,51474.8,51663.0,339027.2,338928.4,255509.4,256048.1,145775.7,146503.3,83410.4,82466.4,85554.6,85919.8,25974.4,25643.7,8376.8,14404.5
Dec-1980,959574.2,959215.7,672632.1,672307.3,286942.2,286908.4,893749.0,893158.2,658411.4,657624.4,235337.7,235533.8,65825.2,66057.5,14220.7,14682.9,51604.5,51374.6,339090.9,338925.2,255606.9,256109.9,145639.8,145112.2,83362.4,83279.3,85881.8,86139.7,25993.2,26663.1,8569.0,14501.7
Jan-1981,960123.8,956753.5,672951.5,672429.0,287172.3,284324.4,894121.7,891301.7,658761.0,658717.9,235360.7,232583.8,66002.1,65451.8,14190.5,13711.2,51811.6,51740.6,339490.4,337784.1,255999.5,255630.6,145607.5,145369.2,83359.9,83270.1,86109.6,86235.1,26036.7,26250.7,8749.7,14604.4
Feb-1981,961032.3,961688.2,673275.7,673371.1,287756.6,288317.2,894785.6,895604.6,659077.6,659426.5,235708.0,236178.1,66246.7,66083.6,14198.1,13944.6,52048.6,52139.0,340201.8,340830.8,256583.7,255287.7,145689.3,146125.4,83382.8,83703.4,86262.7,85970.8,26077.0,25972.5,8864.1,14693.5
Mar-1981,962330.1,960891.7,673745.6,672960.0,288584.5,287931.7,895804.4,894270.5,659472.7,658592.4,236331.7,235678.1,66525.7,66621.2,14272.9,14367.6,52252.8,52253.6,341079.7,340837.5,257186.9,258541.4,146074.9,145183.2,83463.2,83135.6,86331.5,84285.8,26070.3,25959.3,8898.1,14764.4
Apr-1981,963912.8,977229.4,674320.7,683329.3,289592.1,293900.1,897098.3,910372.8,659917.7,669051.5,237180.6,241321.3,66814.6,66856.6,14403.0,14277.8,52411.5,52578.8,341876.3,343333.2,257697.3,264257.3,146825.8,147311.8,83581.5,84287.5,86381.2,87869.6,25994.1,26290.2,8881.7,14806.7
May-1981,965430.6,964239.3,674732.9,673824.5,290697.7,290414.8,898341.0,896906.1,660175.3,659130.7,238165.7,237775.4,67089.7,67333.2,14557.7,14693.8,52532.0,52639.5,342324.0,340907.0,258132.3,256977.8,147772.4,146846.1,83697.6,83324.9,86397.0,85555.5,25877.6,26520.5,8854.4,14807.3
Jun-1981,966414.8,966804.0,674617.3,674219.0,291797.4,292585.0,899078.3,899457.0,659930.6,659422.2,239147.7,240034.8,67336.5,67347.0,14686.7,14796.8,52649.7,52550.2,342397.2,344535.6,258442.6,259667.1,148628.7,143927.7,83808.4,83180.9,86335.0,86719.6,25767.8,25802.0,8847.2,14773.5
Jul-1981,966844.9,969022.1,674004.8,676321.2,292840.1,292700.9,899383.1,901937.7,659290.4,661522.7,240092.7,240415.1,67461.8,67084.3,14714.4,14798.5,52747.4,52285.9,342184.2,341917.3,258527.3,257910.8,149232.1,149686.4,83954.7,84127.4,86156.5,86878.9,25695.5,25573.7,8879.5,14712.2
Aug-1981,966774.6,965110.7,673006.2,672561.8,293768.4,292548.9,899362.6,897770.4,658396.7,658047.7,240965.9,239722.6,67412.0,67340.3,14609.5,14514.0,52802.5,52826.2,341917.4,338215.2,258393.6,257502.9,149545.0,150922.7,84071.4,84492.3,85925.9,85244.0,25661.1,25359.5,8937.0,14637.8
Sep-1981,966485.2,977590.2,671954.5,681762.6,294530.7,295827.7,899330.9,909908.8,657555.2,667355.0,241775.7,242553.8,67154.3,67681.5,14399.3,14407.6,52755.0,53273.9,341739.5,344729.0,258119.9,259968.6,149689.8,149462.8,84102.7,87117.8,85742.6,86625.5,25656.1,25873.9,8979.5,14572.9
Oct-1981,966369.0,965790.0,671322.0,670860.0,295047.1,294930.0,899633.9,898058.9,657197.2,655936.4,242436.7,242122.6,66735.1,67731.1,14124.8,14923.6,52610.4,52807.5,341652.3,341656.7,257793.5,257699.0,149919.7,148952.2,84032.8,83820.4,85678.3,84314.1,25663.7,25799.7,8973.9,14524.5
Nov-1981,966656.5,957822.3,671389.2,666884.3,295267.3,290938.0,900365.9,891642.3,657496.5,653099.9,242869.4,238542.4,66290.6,66180.1,13892.7,13784.5,52397.9,52395.6,341540.0,336798.5,257530.6,253692.6,150411.4,148536.7,83898.9,84081.7,85725.9,85678.1,25647.9,25568.1,8921.6,14488.4
Dec-1981,967177.2,969770.4,672047.3,674303.9,295129.9,295466.5,901186.9,904353.1,658236.9,660683.1,242950.0,243670.0,65990.3,65417.3,13810.4,13620.8,52180.0,51796.5,341280.3,341180.7,257353.5,257012.6,151101.7,152614.6,83746.3,83843.9,85868.8,86256.0,25570.7,25632.4,8843.1,14457.9
Jan-1982,967503.0,966611.6,672879.4,671508.6,294623.6,295103.0,901578.0,901352.9,658950.6,658033.5,242627.3,243319.4,65925.0,65258.8,13928.8,13475.2,51996.3,51783.6,340843.8,341953.6,257174.9,257035.3,151802.0,148415.2,83646.3,83016.4,86087.3,86563.7,25415.6,25345.6,8771.7,14435.0
Feb-1982,967114.2,968648.1,673311.8,674916.3,293802.5,293731.8,901025.2,902849.9,659093.7,660823.7,241931.5,242026.2,66089.1,65798.2,14218.1,14092.6,51871.0,51705.6,340160.4,339271.6,256840.4,257232.3,152307.0,153909.3,83600.4,83594.8,86238.0,86107.3,25199.1,25328.7,8741.6,14395.2
Mar-1982,965724.2,967866.2,672867.5,675045.9,292856.7,292820.2,899272.9,900449.6,658245.4,660324.4,241027.5,240125.2,66451.2,67416.6,14622.1,14721.5,51829.2,52695.0,339405.7,339836.6,256328.5,257312.3,152453.9,153099.3,83504.0,83803.0,86225.1,85921.2,24980.1,25032.5,8758.9,14327.2
Apr-1982,963377.3,962609.0,671467.4,670816.9,291909.9,291792.2,896514.5,895327.5,656438.9,655138.0,240075.6,240189.6,66862.8,67281.5,15028.5,15678.9,51834.3,51602.6,338726.4,337388.9,255632.3,256683.5,152190.5,151162.2,83262.2,83457.6,86076.5,86002.0,24794.8,24761.4,8808.6,14236.7
May-1982,960336.0,959469.1,669257.1,668465.2,291078.9,291003.9,893104.3,892172.9,653919.7,653197.9,239184.6,238975.0,67231.7,67296.2,15337.3,15267.3,51894.3,52028.9,338006.4,338886.8,254793.1,252278.3,151641.9,151012.5,82883.9,83116.6,85823.7,86598.2,24652.5,24426.1,8855.3,14128.6
Jun-1982,957134.2,955484.7,666626.9,665499.9,290507.3,289984.8,889595.8,888591.6,651094.2,649961.3,238501.7,238630.3,67538.4,66893.1,15532.8,15538.6,52005.6,51354.5,337157.6,335033.4,253901.1,253882.2,151072.5,151263.4,82453.5,82459.8,85603.7,85618.9,24553.2,24331.6,8877.8,14026.7
Jul-1982,954061.2,954978.3,663850.2,664688.8,290211.1,290289.6,886155.9,887268.9,648151.4,649279.7,238004.5,237989.2,67905.3,67709.5,15698.8,15409.1,52206.5,52300.4,335933.9,335794.3,252933.9,253227.9,150722.0,152086.2,82042.9,81918.4,85443.6,84515.6,24479.6,24797.8,8863.0,13954.8
Aug-1982,950729.2,950379.6,660734.8,660291.7,289994.4,290088.0,882370.3,881350.2,644857.5,644122.6,237512.7,237227.7,68359.0,69029.4,15877.3,16169.1,52481.7,52860.3,334141.4,335585.0,251738.8,252378.2,150590.6,148983.2,81696.5,80779.8,85351.3,85294.2,24397.7,24626.4,8811.8,13934.8
Sep-1982,946715.3,946701.3,657060.1,657627.8,289655.2,289073.5,877850.8,878837.3,640973.5,642203.5,236877.2,236633.8,68864.5,67864.0,16086.5,15424.3,52778.0,52439.7,331747.6,332634.1,250245.7,251129.2,150563.6,148754.4,81393.4,81464.8,85319.6,85844.9,24291.2,24083.4,8731.1,13958.9
Oct-1982,941862.6,952980.1,652720.4,661964.0,289142.2,291016.1,872516.7,882532.9,636415.4,645446.5,236101.3,237086.5,69345.9,70447.2,16305.0,16517.6,53040.9,53929.6,328953.5,328104.1,248484.1,255350.7,150472.3,153887.5,81079.5,83196.1,85330.3,84997.8,24162.4,24247.5,8635.4,14014.1
Nov-1982,936423.8,938069.8,648013.9,649558.2,288409.9,288511.6,866732.3,868522.8,631546.3,632607.5,235186.0,235915.3,69691.4,69547.0,16467.6,16950.7,53223.9,52596.3,326176.0,326860.5,246606.8,245483.4,150195.4,152002.2,80683.8,81114.0,85301.0,85800.5,24044.5,23955.2,8553.1,14084.3
Dec-1982,930961.1,928695.3,643398.0,642893.1,287563.1,285802.2,861125.3,857940.6,626868.5,626136.6,234256.8,231804.0,69835.8,70754.8,16529.5,16756.5,53306.3,53998.2,323883.0,322136.5,244839.6,244485.2,149584.4,150201.4,80241.5,79801.5,85167.7,85003.9,23958.5,23921.1,8500.3,14154.3
Jan-1983,926050.2,921539.0,639318.3,636287.3,286731.9,285251.7,856287.2,853107.6,622810.3,620500.6,233476.8,232606.9,69763.1,68431.4,16508.0,15786.7,53255.1,52644.7,322248.6,322113.2,243439.8,243036.0,148625.4,147731.5,79817.1,79413.6,84936.0,82674.9,23925.8,23872.0,8486.7,14220.2
Feb-1983,922111.9,921992.0,636071.2,635417.9,286040.7,286574.1,852614.5,851793.8,619648.8,618680.2,232965.6,233113.6,69497.4,70198.2,16422.3,16737.8,53075.1,53460.5,321255.1,320646.8,242531.9,243625.0,147375.6,147068.2,79417.3,79197.0,84720.7,84861.9,23946.1,24047.1,8515.8,14294.8
Mar-1983,919477.1,924348.7,633897.0,637710.1,285580.1,286638.6,850357.6,853718.6,617573.9,620252.3,232783.7,233466.2,69119.5,70630.1,16323.1,17457.7,52796.4,53172.4,320611.7,320617.2,242179.9,242139.9,146126.0,147826.9,79123.2,79587.8,84675.7,86250.7,24009.6,24745.2,8596.3,14391.9
Apr-1983,918469.6,915447.1,632924.5,633152.1,285545.2,282295.0,849724.5,849132.5,616686.8,617255.0,233037.7,231877.5,68745.1,66314.5,16237.6,15897.1,52507.5,50417.4,320020.2,322584.9,242354.6,238852.4,145365.0,143988.9,78945.6,78629.5,84830.3,84032.7,24108.5,24077.3,8717.0,14512.8
May-1983,919026.5,917884.6,633040.1,631071.5,285986.4,286813.2,850573.0,849812.4,616867.1,614720.6,233705.9,235091.7,68453.5,68072.3,16173.0,16350.8,52280.5,51721.4,319365.2,319455.7,242961.3,241897.3,145334.8,144165.2,78863.4,79876.7,85079.3,85169.4,24233.9,23935.4,8836.9,14674.2
Jun-1983,921075.3,921059.4,634258.4,634109.7,286816.9,286949.7,852862.2,851536.2,618178.8,617979.2,234683.5,233557.0,68213.0,69523.2,16079.6,16130.5,52133.4,53392.7,318856.1,318017.9,243918.4,244372.3,146102.1,146764.3,78861.0,78200.8,85342.7,85406.6,24362.2,24592.4,8934.0,14872.3
Jul-1983,924407.6,923202.4,636438.5,635604.4,287969.2,287598.0,856327.1,855092.8,620487.6,619723.8,235839.5,235369.0,68080.5,68109.6,15950.9,15880.5,52129.6,52229.1,318798.0,318410.8,245144.0,246357.1,147387.0,145650.8,78949.6,77962.2,85501.2,86051.5,24493.0,24557.6,9003.2,15079.4
Aug-1983,928958.6,931092.5,639576.9,641211.1,289381.8,289881.4,860862.3,862195.2,623738.5,625047.9,237123.8,237147.3,68096.3,68897.4,15838.4,16163.2,52258.0,52734.1,319541.0,318456.4,246554.7,246234.2,148942.8,150255.2,79242.7,80540.7,85533.4,86393.0,24606.9,24687.4,9043.6,15285.7
Sep-1983,934437.3,932741.7,643484.0,641532.0,290953.3,291209.7,866103.1,867371.0,627676.1,626933.1,238426.9,240437.9,68334.2,65370.7,15807.9,14598.9,52526.3,50771.9,321073.4,320811.9,248119.0,247899.1,150483.6,151694.3,79761.8,78895.7,85487.3,84796.1,24681.1,24473.9,9064.4,15465.9
Oct-1983,939961.8,937944.3,647543.2,647115.1,292418.5,290829.2,871246.8,870210.3,631696.3,631571.2,239550.5,238639.1,68714.9,67734.0,15846.9,15543.9,52868.0,52190.1,323119.4,322695.7,249714.5,249085.4,151699.2,151280.2,80408.9,80889.3,85460.8,84540.6,24706.1,24762.8,9061.2,15614.5
Nov-1983,945077.2,948167.6,651410.8,653849.1,293666.3,294318.5,875841.1,878258.6,635452.5,637949.9,240388.5,240308.8,69236.1,69909.0,15958.3,15899.3,53277.8,54009.7,325257.2,327056.9,251235.3,251181.2,152533.3,153420.9,81069.5,80442.9,85615.2,86470.8,24700.6,24778.1,9008.8,15729.6
Dec-1983,949921.8,948007.9,655184.3,652922.1,294737.5,295085.7,880008.5,877315.8,639069.3,636665.7,240939.1,240650.1,69913.3,70692.0,16115.0,16256.5,53798.3,54435.6,327070.6,327346.5,252629.9,252871.0,153187.5,151146.8,81612.0,81556.9,86047.3,85438.9,24690.9,24866.9,8905.2,15817.3
Jan-1984,954623.4,958465.0,658909.2,661576.1,295714.3,296888.9,883938.4,887594.3,642665.4,644773.3,241273.0,242821.0,70685.0,70870.7,16243.7,16802.8,54441.3,54067.9,328491.8,329204.4,253819.9,254940.2,153825.1,155312.2,81935.6,83588.4,86722.4,86848.9,24687.6,24388.4,8756.4,15895.2
Feb-1984,959100.8,946653.7,662367.8,650481.4,296733.0,296172.3,887649.9,875195.2,646056.3,634069.3,241593.6,241125.9,71450.9,71458.5,16311.6,16412.1,55139.3,55046.4,329663.9,324724.9,254668.0,250743.2,154506.9,153744.7,82111.9,81423.6,87499.1,87375.7,24683.6,24145.6,8576.1,15977.4
Mar-1984,963118.2,957768.1,665304.9,662590.3,297813.3,295177.8,891031.0,886312.2,649008.8,646619.3,242022.2,239692.9,72087.2,71455.9,16296.1,15971.0,55791.1,55484.8,330925.5,330543.6,255154.5,253725.5,155215.7,154448.5,82232.0,81822.1,88223.0,87988.1,24668.6,24778.0,8390.7,16060.1
